epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,750.403,1.06157,0.98778,1.08545,0.59306,0.31737,0.35536,0.23618,1.06719,1.4132,1.08533,0.0676908,0.000999254,0.000999254
2,1483.4,1.01572,0.84252,1.06193,0.52341,0.52788,0.52032,0.36156,1.00761,0.86727,1.04416,0.0353574,0.0019992,0.0019992
3,2216.25,0.98478,0.77363,1.04495,0.64847,0.60085,0.64762,0.46208,0.94856,0.67728,1.00761,0.0030238,0.00299893,0.00299893
4,2948.1,0.94868,0.70748,1.02684,0.73643,0.67212,0.73561,0.54268,0.90391,0.58067,0.98284,0.00299927,0.00299927,0.00299927
5,3681.11,0.92278,0.6602,1.01156,0.7486,0.72248,0.77081,0.57401,0.8907,0.54887,0.97399,0.0029987,0.0029987,0.0029987
6,4414.24,0.90626,0.63122,1.00495,0.7304,0.75402,0.78698,0.5918,0.87716,0.52475,0.96538,0.00299796,0.00299796,0.00299796
7,5147.48,0.89165,0.60734,0.9945,0.76077,0.75495,0.804,0.60853,0.87214,0.5089,0.96324,0.00299707,0.00299707,0.00299707
8,5880.28,0.88266,0.59085,0.99056,0.75576,0.77614,0.8179,0.62131,0.86547,0.49543,0.95965,0.00299601,0.00299601,0.00299601
9,6613.29,0.87327,0.57471,0.98244,0.78213,0.76497,0.81974,0.62334,0.86173,0.48916,0.95006,0.00299479,0.00299479,0.00299479
10,7346.51,0.86738,0.56674,0.98018,0.78791,0.76702,0.82524,0.631,0.85966,0.48355,0.95047,0.00299341,0.00299341,0.00299341
11,8079.05,0.86454,0.55859,0.97938,0.76422,0.78705,0.82952,0.63749,0.85827,0.47986,0.9508,0.00299187,0.00299187,0.00299187
12,8811.8,0.85772,0.55106,0.97303,0.78743,0.7837,0.83424,0.63922,0.85704,0.47638,0.94859,0.00299016,0.00299016,0.00299016
13,9543.98,0.85421,0.54325,0.97121,0.7763,0.79193,0.83645,0.64204,0.85576,0.4741,0.94739,0.00298829,0.00298829,0.00298829
14,10276.1,0.8507,0.5391,0.97141,0.77961,0.79536,0.83736,0.64425,0.85474,0.47264,0.94682,0.00298626,0.00298626,0.00298626
15,11008.2,0.84783,0.53399,0.97206,0.77951,0.80217,0.83933,0.64571,0.85404,0.47169,0.94676,0.00298407,0.00298407,0.00298407
16,11739.6,0.84447,0.52957,0.96944,0.79057,0.79601,0.83996,0.64645,0.85345,0.47075,0.94686,0.00298172,0.00298172,0.00298172
17,12471.6,0.84304,0.524,0.9684,0.79074,0.79495,0.84048,0.64718,0.85297,0.47068,0.94701,0.0029792,0.0029792,0.0029792
18,13203.8,0.83991,0.52061,0.96585,0.79282,0.79555,0.84094,0.6496,0.85242,0.47064,0.94672,0.00297653,0.00297653,0.00297653
19,13935.9,0.83694,0.51629,0.96309,0.79449,0.77829,0.83488,0.64504,0.85363,0.47578,0.94688,0.0029737,0.0029737,0.0029737
20,14667.8,0.83665,0.51288,0.96024,0.72288,0.7691,0.75138,0.57576,0.85722,0.70903,0.94753,0.0029707,0.0029707,0.0029707
21,15398.7,0.83221,0.50894,0.95973,0.69917,0.78744,0.72907,0.55741,0.86006,0.80882,0.94832,0.00296755,0.00296755,0.00296755
22,16131.2,0.83084,0.50698,0.95646,0.78036,0.769,0.80609,0.61683,0.8601,0.82938,0.94791,0.00296424,0.00296424,0.00296424
23,16863.4,0.82885,0.50392,0.95732,0.73079,0.77225,0.75332,0.57358,0.8599,1.0406,0.94776,0.00296076,0.00296076,0.00296076
24,17594.6,0.82753,0.5011,0.95616,0.78409,0.77049,0.80908,0.61974,0.85963,0.6126,0.94748,0.00295713,0.00295713,0.00295713
25,18328.9,0.8263,0.49865,0.95708,0.79056,0.77344,0.82117,0.63146,0.85929,0.49489,0.94764,0.00295335,0.00295335,0.00295335
26,19061.8,0.82629,0.49628,0.95929,0.75272,0.76201,0.77942,0.60555,0.85935,0.95271,0.94822,0.0029494,0.0029494,0.0029494
27,19794.1,0.82261,0.49311,0.95618,0.75818,0.74973,0.77382,0.60103,0.85963,1.47081,0.94833,0.0029453,0.0029453,0.0029453
28,20525,0.82175,0.49165,0.95666,0.76711,0.74643,0.77608,0.60341,0.85952,3.84682,0.94841,0.00294104,0.00294104,0.00294104
29,21255,0.81942,0.48787,0.95563,0.76199,0.75293,0.77794,0.60507,0.8593,1.47097,0.94833,0.00293662,0.00293662,0.00293662
30,21986.1,0.81952,0.48567,0.9536,0.80798,0.76334,0.82022,0.63314,0.85916,0.49606,0.94796,0.00293205,0.00293205,0.00293205
31,22717.6,0.82058,0.48471,0.95064,0.805,0.76987,0.82202,0.6342,0.85925,0.49357,0.94708,0.00292732,0.00292732,0.00292732
32,23449.4,0.8168,0.48313,0.95079,0.80792,0.76563,0.8226,0.63517,0.85911,0.49168,0.94661,0.00292244,0.00292244,0.00292244
33,24181.4,0.81465,0.48172,0.95141,0.80561,0.76545,0.82386,0.63679,0.85897,0.48944,0.94602,0.0029174,0.0029174,0.0029174
