epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,646.039,1.02578,0.94835,1.08129,0.58205,0.51062,0.5316,0.36494,0.99899,0.8575,1.05527,0.0676991,0.000998996,0.000998996
2,1275.44,0.99349,0.7966,1.06252,0.64937,0.53756,0.59852,0.41716,0.99225,0.74853,1.05469,0.0353657,0.00199894,0.00199894
3,1908.74,0.96463,0.73747,1.04603,0.66623,0.64774,0.68516,0.48886,0.93714,0.66351,1.01937,0.00303214,0.00299867,0.00299867
4,2542.77,0.93594,0.68555,1.03049,0.71004,0.68596,0.73332,0.53807,0.91482,0.60109,1.00149,0.00299927,0.00299927,0.00299927
5,3179.8,0.91274,0.64226,1.01614,0.73629,0.71873,0.76151,0.56965,0.89395,0.55641,0.98439,0.0029987,0.0029987,0.0029987
6,3785.11,0.89899,0.61799,1.0097,0.75859,0.73806,0.79052,0.59466,0.88146,0.53047,0.97534,0.00299796,0.00299796,0.00299796
7,4389.75,0.88619,0.59775,1.00421,0.76272,0.75453,0.80343,0.61052,0.87233,0.51409,0.97273,0.00299707,0.00299707,0.00299707
8,4994.26,0.87702,0.58043,1.00038,0.77766,0.76516,0.81632,0.61931,0.8665,0.49837,0.9697,0.00299601,0.00299601,0.00299601
9,5597.54,0.86886,0.56813,0.99703,0.77031,0.78193,0.82124,0.62823,0.86368,0.49311,0.96955,0.00299479,0.00299479,0.00299479
10,6201.68,0.86303,0.55818,0.99031,0.7929,0.77744,0.82733,0.63193,0.86033,0.48767,0.96203,0.00299341,0.00299341,0.00299341
11,6806.61,0.85887,0.549,0.98539,0.79356,0.77908,0.83346,0.63776,0.85928,0.47994,0.95838,0.00299187,0.00299187,0.00299187
12,7414.01,0.85433,0.54266,0.98451,0.81348,0.77943,0.83566,0.64472,0.85524,0.47554,0.95956,0.00299016,0.00299016,0.00299016
13,8018.32,0.84905,0.53435,0.98139,0.80609,0.78212,0.83732,0.64559,0.855,0.47182,0.95979,0.00298829,0.00298829,0.00298829
14,8621.63,0.84722,0.53057,0.97947,0.80661,0.78976,0.8416,0.6486,0.85458,0.4696,0.95739,0.00298626,0.00298626,0.00298626
15,9227.93,0.84274,0.52461,0.97305,0.80264,0.79632,0.84542,0.65225,0.85371,0.46749,0.95334,0.00298407,0.00298407,0.00298407
16,9832.2,0.83959,0.51948,0.97331,0.80578,0.78984,0.84772,0.6543,0.85305,0.46574,0.9529,0.00298172,0.00298172,0.00298172
17,10439.9,0.83835,0.51544,0.97216,0.80677,0.79086,0.84864,0.65578,0.85265,0.46357,0.95303,0.0029792,0.0029792,0.0029792
18,11053.8,0.83562,0.51162,0.97109,0.79345,0.80199,0.84913,0.6566,0.85241,0.46316,0.95359,0.00297653,0.00297653,0.00297653
19,11670.1,0.83312,0.50805,0.96812,0.79848,0.79815,0.85013,0.65797,0.85202,0.46171,0.9529,0.0029737,0.0029737,0.0029737
20,12277.7,0.8321,0.50464,0.96999,0.80714,0.79284,0.84969,0.6585,0.85158,0.46118,0.95283,0.0029707,0.0029707,0.0029707
21,12890.7,0.82989,0.50203,0.97384,0.81252,0.79244,0.85015,0.65966,0.85095,0.46051,0.95332,0.00296755,0.00296755,0.00296755
