epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,464.775,1.26164,1.99679,1.36457,0.25554,0.175,0.11345,0.07239,1.57263,4.5379,1.60209,0.0677063,0.000998775,0.000998775
2,907.243,1.26592,1.91517,1.37371,0.34583,0.25317,0.22135,0.15068,1.38409,2.61938,1.46218,0.0353729,0.00199872,0.00199872
3,1346.08,1.19169,1.77411,1.32943,0.35843,0.33634,0.27672,0.19153,1.27467,2.09664,1.39457,0.0030393,0.00299845,0.00299845
4,1785.47,1.12367,1.63863,1.28407,0.46245,0.39004,0.37017,0.26487,1.14469,1.83254,1.28231,0.00299927,0.00299927,0.00299927
5,2224.3,1.06777,1.5388,1.24913,0.46523,0.42086,0.39959,0.29318,1.09842,1.71244,1.2625,0.0029987,0.0029987,0.0029987
6,2663.17,1.03255,1.46977,1.22485,0.50208,0.43184,0.42893,0.31722,1.03833,1.63368,1.21178,0.00299796,0.00299796,0.00299796
7,3102.05,1.00206,1.41181,1.20283,0.53145,0.45121,0.45803,0.3425,1.00668,1.5127,1.19163,0.00299707,0.00299707,0.00299707
8,3541.06,0.97906,1.36642,1.189,0.55128,0.47198,0.47853,0.36105,0.98609,1.44658,1.18006,0.00299601,0.00299601,0.00299601
9,3980.38,0.96325,1.32937,1.17796,0.55655,0.48913,0.49581,0.37596,0.96015,1.39879,1.158,0.00299479,0.00299479,0.00299479
10,4418.61,0.9488,1.30366,1.16599,0.56016,0.49542,0.50606,0.38711,0.93602,1.37349,1.14309,0.00299341,0.00299341,0.00299341
11,4857.3,0.93252,1.27101,1.15697,0.5639,0.50981,0.5191,0.39861,0.92508,1.3451,1.13618,0.00299187,0.00299187,0.00299187
12,5298.14,0.91896,1.24757,1.14872,0.57276,0.51193,0.52549,0.40497,0.91014,1.32222,1.12507,0.00299016,0.00299016,0.00299016
13,5741.45,0.91253,1.23045,1.14373,0.58286,0.5216,0.53618,0.4154,0.89794,1.29428,1.11885,0.00298829,0.00298829,0.00298829
14,6179.92,0.90245,1.20941,1.13636,0.5884,0.52125,0.54063,0.41876,0.88935,1.28007,1.11468,0.00298626,0.00298626,0.00298626
15,6619.14,0.89512,1.19435,1.1315,0.59542,0.52802,0.54797,0.42513,0.8859,1.26552,1.10867,0.00298407,0.00298407,0.00298407
16,7060.38,0.88553,1.178,1.12692,0.60139,0.5302,0.55296,0.42936,0.87781,1.25311,1.10462,0.00298172,0.00298172,0.00298172
17,7499.55,0.87815,1.15874,1.11822,0.5998,0.53597,0.55732,0.43459,0.87108,1.2403,1.09896,0.0029792,0.0029792,0.0029792
18,7938.02,0.86908,1.14454,1.11434,0.59848,0.53977,0.56179,0.43846,0.86758,1.22567,1.09624,0.00297653,0.00297653,0.00297653
19,8378.75,0.86475,1.12957,1.11167,0.61199,0.53779,0.56539,0.44144,0.86409,1.21824,1.09442,0.0029737,0.0029737,0.0029737
20,8820.72,0.85734,1.11962,1.10861,0.61577,0.53598,0.56764,0.44405,0.8612,1.21311,1.09268,0.0029707,0.0029707,0.0029707
21,9261.25,0.85286,1.10652,1.1038,0.61677,0.53541,0.56945,0.44638,0.85879,1.20629,1.09094,0.00296755,0.00296755,0.00296755
22,9701.18,0.84666,1.09379,1.10096,0.61469,0.53979,0.57139,0.44778,0.85695,1.20058,1.08957,0.00296424,0.00296424,0.00296424
23,10142.1,0.84379,1.08535,1.09702,0.61433,0.54272,0.5729,0.4492,0.85505,1.19777,1.08783,0.00296076,0.00296076,0.00296076
24,10582.6,0.83965,1.0743,1.0928,0.61227,0.54571,0.57426,0.45059,0.85271,1.19502,1.08612,0.00295713,0.00295713,0.00295713
25,11022.1,0.83441,1.06632,1.09232,0.61303,0.54619,0.57522,0.45151,0.85135,1.19283,1.08532,0.00295335,0.00295335,0.00295335
26,11461,0.83075,1.0533,1.0885,0.61214,0.54957,0.57621,0.45255,0.85001,1.19116,1.08431,0.0029494,0.0029494,0.0029494
27,11900.3,0.82624,1.04729,1.0861,0.61326,0.54989,0.57731,0.4538,0.84916,1.18886,1.08398,0.0029453,0.0029453,0.0029453
