epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,373.245,1.19063,1.90865,1.32559,0.28358,0.26554,0.19268,0.1227,1.46194,2.59123,1.55061,0.0677131,0.000998565,0.000998565
2,745.969,1.20452,1.81215,1.33806,0.39489,0.31367,0.28273,0.19102,1.32561,2.13229,1.44406,0.0353797,0.00199851,0.00199851
3,1120.35,1.14178,1.68225,1.29742,0.41874,0.3608,0.33565,0.23965,1.19169,2.04984,1.32145,0.00304606,0.00299824,0.00299824
4,1492.58,1.08043,1.56366,1.25727,0.47333,0.41015,0.39277,0.28508,1.12006,1.73527,1.27864,0.00299927,0.00299927,0.00299927
5,1866.28,1.03489,1.46699,1.23063,0.49811,0.42171,0.41334,0.30569,1.06221,1.67345,1.23054,0.0029987,0.0029987,0.0029987
6,2239.22,1.00212,1.40816,1.20693,0.51905,0.44476,0.44777,0.33299,1.02513,1.57565,1.19185,0.00299796,0.00299796,0.00299796
7,2610.96,0.97837,1.36063,1.19077,0.54205,0.46085,0.46971,0.35179,1.00166,1.49901,1.18819,0.00299707,0.00299707,0.00299707
8,2983.06,0.95509,1.31209,1.17491,0.54278,0.48306,0.48459,0.3665,0.98079,1.44683,1.17009,0.00299601,0.00299601,0.00299601
9,3352.92,0.94247,1.28117,1.16455,0.57165,0.48825,0.50332,0.38438,0.95198,1.37246,1.15925,0.00299479,0.00299479,0.00299479
10,3724.65,0.9261,1.2536,1.15409,0.55915,0.50561,0.51234,0.39134,0.93909,1.3696,1.14304,0.00299341,0.00299341,0.00299341
11,4094.99,0.91048,1.22356,1.14575,0.57598,0.50316,0.51611,0.39826,0.91833,1.35297,1.13258,0.00299187,0.00299187,0.00299187
12,4465.35,0.89969,1.2041,1.13734,0.58574,0.51574,0.53423,0.4123,0.91138,1.31279,1.1189,0.00299016,0.00299016,0.00299016
13,4839.77,0.89109,1.18431,1.13272,0.58682,0.52519,0.54092,0.41942,0.8949,1.28155,1.11487,0.00298829,0.00298829,0.00298829
14,5212.19,0.88141,1.15884,1.12551,0.59351,0.52952,0.54625,0.42427,0.88804,1.27057,1.11198,0.00298626,0.00298626,0.00298626
15,5581.76,0.87473,1.1487,1.1217,0.59486,0.53489,0.55071,0.42726,0.88467,1.27109,1.10972,0.00298407,0.00298407,0.00298407
16,5951.47,0.86556,1.12496,1.11711,0.60282,0.5378,0.5571,0.43294,0.88124,1.24483,1.10718,0.00298172,0.00298172,0.00298172
17,6318.59,0.86127,1.1141,1.11098,0.59422,0.54986,0.56112,0.43747,0.87538,1.23666,1.10099,0.0029792,0.0029792,0.0029792
18,6685.18,0.85112,1.09501,1.10538,0.59522,0.55375,0.56501,0.44094,0.87115,1.22644,1.09984,0.00297653,0.00297653,0.00297653
19,7051.8,0.84737,1.08569,1.10321,0.60492,0.54974,0.5672,0.44399,0.8663,1.21707,1.09717,0.0029737,0.0029737,0.0029737
20,7418.85,0.84137,1.07498,1.09885,0.60436,0.54901,0.56848,0.44574,0.86224,1.21404,1.09536,0.0029707,0.0029707,0.0029707
21,7785.85,0.83361,1.05835,1.09466,0.62034,0.54619,0.5711,0.44775,0.85904,1.21067,1.09363,0.00296755,0.00296755,0.00296755
22,8152.9,0.82655,1.0414,1.09132,0.61796,0.55139,0.57322,0.44959,0.8568,1.20731,1.09215,0.00296424,0.00296424,0.00296424
23,8520.15,0.82613,1.03528,1.09017,0.61968,0.55109,0.5741,0.4506,0.85531,1.20456,1.09125,0.00296076,0.00296076,0.00296076
24,8887.14,0.82083,1.02372,1.08449,0.62149,0.54766,0.57498,0.45135,0.85256,1.20288,1.08907,0.00295713,0.00295713,0.00295713
25,9254.08,0.81672,1.01603,1.08546,0.61852,0.55006,0.57557,0.45218,0.85271,1.20244,1.08996,0.00295335,0.00295335,0.00295335
26,9621.22,0.81341,1.00348,1.08018,0.62107,0.54748,0.57657,0.45307,0.85186,1.20182,1.08922,0.0029494,0.0029494,0.0029494
27,9987.51,0.80689,0.9916,1.07672,0.61945,0.55106,0.57757,0.45373,0.85079,1.1994,1.08879,0.0029453,0.0029453,0.0029453
28,10354.5,0.80459,0.98274,1.07522,0.61719,0.55409,0.57817,0.45444,0.84965,1.19762,1.08845,0.00294104,0.00294104,0.00294104
29,10721.3,0.80314,0.97111,1.07341,0.61457,0.55692,0.57894,0.45519,0.84853,1.196,1.08792,0.00293662,0.00293662,0.00293662
30,11088.8,0.79963,0.96729,1.07257,0.61507,0.55783,0.57955,0.45598,0.84778,1.19507,1.08734,0.00293205,0.00293205,0.00293205
31,11456.2,0.79401,0.95458,1.06672,0.61718,0.55601,0.58006,0.45682,0.84768,1.19496,1.0869,0.00292732,0.00292732,0.00292732
32,11823.4,0.79016,0.94782,1.06463,0.61889,0.55482,0.58053,0.45767,0.84652,1.19481,1.08618,0.00292244,0.00292244,0.00292244
33,12191.6,0.78828,0.93972,1.06329,0.62128,0.55441,0.58085,0.45818,0.84607,1.19545,1.08553,0.0029174,0.0029174,0.0029174
34,12559.2,0.78646,0.9293,1.06128,0.62012,0.55492,0.58071,0.45818,0.84593,1.19594,1.08544,0.00291221,0.00291221,0.00291221
35,12926.8,0.78233,0.92028,1.05688,0.62305,0.55464,0.58088,0.45809,0.84562,1.19637,1.08526,0.00290686,0.00290686,0.00290686
36,13294.3,0.77648,0.91071,1.05247,0.62408,0.55377,0.58138,0.45853,0.84474,1.19745,1.08443,0.00290137,0.00290137,0.00290137
37,13662,0.77519,0.9026,1.05274,0.62211,0.55577,0.5815,0.45877,0.84422,1.19784,1.08377,0.00289572,0.00289572,0.00289572
38,14028.5,0.77346,0.89342,1.05161,0.62287,0.55594,0.58189,0.45925,0.84359,1.19892,1.08326,0.00288992,0.00288992,0.00288992
